sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
8.44,2.9056,32.155,1025.5048,14.91,2.9057,32.1484,1025.4996
8.25,2.9169,32.1565,1025.5052,14.67,2.9052,32.148,1025.4994
8.06,2.93,32.159,1025.506,14.41,2.9015,32.1499,1025.5012
7.85,2.9369,32.1527,1025.5005,14.13,2.9036,32.1483,1025.4998
7.63,2.9477,32.1519,1025.4989,13.87,2.9068,32.1481,1025.4993
7.43,2.9415,32.1472,1025.4957,13.61,2.9079,32.153,1025.5031
7.23,2.9372,32.1504,1025.4986,13.37,2.9057,32.1486,1025.4998
7.0,2.9264,32.1475,1025.4972,13.13,2.9053,32.1487,1025.4999
6.81,2.9225,32.1544,1025.503,12.89,2.9058,32.1491,1025.5002
6.58,2.9353,32.1561,1025.5033,12.65,2.9066,32.1436,1025.4957
6.38,2.9423,32.1476,1025.496,12.39,2.8982,32.151,1025.5023
6.17,2.9398,32.1518,1025.4995,12.13,2.907,32.1481,1025.4993
5.97,2.943,32.1499,1025.4977,11.87,2.9135,32.1501,1025.5003
5.76,2.9387,32.14,1025.4902,11.58,2.9667,32.1646,1025.5074
5.56,2.9228,32.153,1025.5019,11.3,2.9837,32.1469,1025.492
5.37,2.9284,32.1541,1025.5023,11.03,2.9863,32.1497,1025.494
5.18,2.9371,32.1573,1025.5041,10.76,2.9924,32.1442,1025.4891
4.98,2.9459,32.1441,1025.4929,10.48,2.9894,32.1408,1025.4867
4.79,2.9473,32.1483,1025.4961,10.21,2.9632,32.1511,1025.497
4.62,2.9504,32.158,1025.5035,9.92,2.9539,32.1523,1025.4987
4.43,2.9706,32.1473,1025.4933,9.61,2.9602,32.1588,1025.5033
4.25,2.9761,32.135,1025.4832,9.31,2.9615,32.1495,1025.4959
4.07,2.9521,32.144,1025.4923,9.0,2.9623,32.1459,1025.493
3.89,2.9458,32.1498,1025.4974,8.71,2.9496,32.1556,1025.5017
3.72,2.9604,32.1567,1025.5017,8.43,2.9632,32.1539,1025.4992
3.53,2.9561,32.1443,1025.4922,8.23,2.9747,32.1462,1025.4922
3.38,2.9508,32.1485,1025.496,8.12,2.967,32.1496,1025.4955
3.21,2.9507,32.1534,1025.4999,8.09,2.9703,32.1406,1025.4881
3.04,2.9704,32.1453,1025.4918,8.16,2.9615,32.1482,1025.4948
2.89,2.9795,32.1465,1025.492,8.3,2.9686,32.1504,1025.496
