time,depth,lat,lon,dive,climb,profile_num
2025-03-19 23:52:28.477999872,2.528458595275879,32.70326562870739,-117.48166417130966,0.0,0.0,0.0
2025-03-19 23:53:01.653000192,18.433048248291016,32.70341799740634,-117.48174071750884,0.0,0.0,0.0
2025-03-19 23:53:33.677999872,35.355712890625,32.70356508429508,-117.48181461025953,1.0,0.0,1.0
2025-03-19 23:54:05.708000000,43.81704330444336,32.70384100847358,-117.48191556242368,1.0,0.0,1.0
2025-03-19 23:54:37.736999936,52.708229064941406,32.70415986438179,-117.48202552786444,1.0,0.0,1.0
2025-03-19 23:55:09.877000192,61.80302810668945,32.7044798253206,-117.48213587440267,1.0,0.0,1.0
2025-03-19 23:55:43.046000128,69.65351867675781,32.7048100301842,-117.48224975381476,1.0,0.0,1.0
2025-03-19 23:56:13.928999936,79.92475891113281,32.70506666506072,-117.48237733553196,1.0,0.0,1.0
2025-03-19 23:56:45.956999936,93.25022888183594,32.70533281478331,-117.48250964739505,1.0,0.0,1.0
2025-03-19 23:57:17.977999872,100.30887603759766,32.705598906334814,-117.48264193033935,1.0,0.0,1.0
2025-03-19 23:57:50.007000064,101.19120788574219,32.705852029682326,-117.48276829397352,1.0,0.0,1.0
2025-03-19 23:58:22.125999872,102.8653793334961,32.70601437490778,-117.48285323355589,0.0,0.0,0.0
2025-03-19 23:58:54.156000000,104.51692199707031,32.70617627028352,-117.48293793777533,0.0,0.0,0.0
2025-03-19 23:59:26.180000000,104.81102752685547,32.706338135333304,-117.48302262612813,0.0,0.0,0.0
2025-03-19 23:59:58.210000128,102.02828979492188,32.706535593498245,-117.48312592982913,0.0,0.0,0.0
2025-03-20 00:00:30.236999936,96.96054077148438,32.706792300904894,-117.48326022111846,0.0,1.0,2.0
2025-03-20 00:01:02.265000192,89.49465942382812,32.70704901632822,-117.48339451660154,0.0,1.0,2.0
2025-03-20 00:01:34.385999872,80.80709075927734,32.70730647717607,-117.48352920203837,0.0,1.0,2.0
2025-03-20 00:02:06.410000128,71.55392456054688,32.70760254139436,-117.48365628330433,0.0,1.0,2.0
2025-03-20 00:02:38.435000064,61.7125358581543,32.70792225355211,-117.48377904820909,0.0,1.0,2.0
2025-03-20 00:03:10.459000064,52.79872512817383,32.70824195572977,-117.48390180928165,0.0,1.0,2.0
2025-03-20 00:03:42.483000064,44.427886962890625,32.708561657905044,-117.48402457035327,0.0,1.0,2.0
2025-03-20 00:04:14.506000128,35.762943267822266,32.70887671207879,-117.48413410710857,0.0,1.0,2.0
2025-03-20 00:04:46.632000000,28.613794326782227,32.70919211430567,-117.48424209977597,0.0,1.0,2.0
2025-03-20 00:05:18.764000000,21.28365707397461,32.70950757543895,-117.48435011261272,0.0,1.0,2.0
2025-03-20 00:05:50.787000064,13.772527694702148,32.70962133279763,-117.48436118811561,0.0,1.0,2.0
2025-03-20 00:06:22.808999936,6.351894855499268,32.70833194697011,-117.48369689054782,0.0,1.0,2.0
2025-03-20 00:13:54.365999872,1.029075026512146,32.70407532494239,-117.48182979850448,0.0,0.0,0.0
2025-03-20 00:18:11.320000000,0.011308516375720501,32.70330751700233,-117.48173901278105,0.0,0.0,0.0
2025-03-20 00:18:38.470000128,4.150225639343262,32.70322638969687,-117.48172942027655,0.0,0.0,0.0
2025-03-20 00:19:16.992000000,0.05000000074505806,32.703111281554854,-117.48171580987297,0.0,0.0,0.0
2025-03-20 00:19:49.015000064,0.011308516375720501,32.703015593168345,-117.4817044956641,0.0,0.0,0.0
2025-03-20 00:20:53.477999872,0.011308516375720501,32.70284889126367,-117.48168762312211,0.0,0.0,0.0
2025-03-20 00:21:25.502000128,0.03392554819583893,32.70276790321993,-117.48167965708504,0.0,0.0,0.0
2025-03-20 00:21:57.624000000,0.011308516375720501,32.70268666733666,-117.4816716666703,0.0,0.0,0.0
2025-03-20 00:22:29.648000000,0.011308516375720501,32.70265954788051,-117.48163827443614,0.0,0.0,0.0
2025-03-20 00:23:01.674000128,0.011308516375720501,32.70263242673059,-117.48160488011642,0.0,0.0,0.0
2025-03-20 00:23:33.707000064,8.560546875,32.70260529965275,-117.48157147849767,0.0,0.0,0.0
2025-03-20 00:24:06.884000000,19.05484962463379,32.70260804920729,-117.48155550115408,0.0,0.0,0.0
2025-03-20 00:24:38.910000128,26.247066497802734,32.70270427124855,-117.48159655220029,0.0,0.0,0.0
2025-03-20 00:25:10.932000000,37.32941436767578,32.70280048127126,-117.48163759811905,0.0,0.0,0.0
2025-03-20 00:25:43.065999872,45.788185119628906,32.70289702779838,-117.48167878760012,0.0,0.0,0.0
2025-03-20 00:26:17.684999936,59.44887161254883,32.70299059207488,-117.4817114037891,0.0,0.0,0.0
2025-03-20 00:26:49.712999936,77.22586059570312,32.70306592588103,-117.48172894318729,0.0,0.0,0.0
2025-03-20 00:27:21.732000000,90.81869506835938,32.703141238517915,-117.48174647765681,0.0,0.0,0.0
2025-03-20 00:27:53.760999936,97.87521362304688,32.70321657467545,-117.48176401760246,0.0,0.0,0.0
2025-03-20 00:28:25.788999936,98.39540100097656,32.70325306791278,-117.48177147221523,0.0,0.0,0.0
2025-03-20 00:28:57.913000192,95.81706237792969,32.70327668919542,-117.48177557862392,0.0,0.0,0.0
2025-03-20 00:29:29.932000000,92.19833374023438,32.703300233269715,-117.48177967161045,0.0,1.0,3.0
2025-03-20 00:30:01.960000000,87.47137451171875,32.70332378396207,-117.48178376574748,0.0,1.0,3.0
2025-03-20 00:30:33.988000000,80.50533294677734,32.70341925808634,-117.48180129637795,0.0,1.0,3.0
2025-03-20 00:31:06.009999872,71.8656234741211,32.70351471432545,-117.48181882372441,0.0,1.0,3.0
2025-03-20 00:31:38.039000064,63.90442657470703,32.703610191431174,-117.48183635490233,0.0,1.0,3.0
2025-03-20 00:32:10.161999872,53.794612884521484,32.70371287475798,-117.48185204106953,0.0,1.0,3.0
2025-03-20 00:32:42.184000000,42.938438415527344,32.70383603677377,-117.48186198209466,0.0,1.0,3.0
2025-03-20 00:33:14.212000000,34.50228500366211,32.703959221865816,-117.48187192498237,0.0,1.0,3.0
2025-03-20 00:33:46.239000064,27.10651397705078,32.70408240311288,-117.48188186755974,0.0,1.0,3.0
2025-03-20 00:34:18.268000000,18.240636825561523,32.704149401772895,-117.4819002360378,0.0,1.0,3.0
2025-03-20 00:34:50.292000000,9.533079147338867,32.70416022600632,-117.48192702298361,0.0,1.0,3.0
2025-03-20 00:35:23.177999872,0.44103214144706726,32.70417134159893,-117.48195453096179,0.0,0.0,0.0
2025-03-20 00:35:55.584999936,0.2374788522720337,32.70418229528778,-117.48198163827348,0.0,0.0,0.0
2025-03-20 00:36:27.611000064,0.21486181020736694,32.70417251375426,-117.48198931914608,0.0,0.0,0.0
2025-03-20 00:38:05.428000000,1.2100112438201904,32.704121667336736,-117.48199333333693,0.0,0.0,0.0
2025-03-20 00:42:30.000999936,4.150225639343262,32.7033708890914,-117.48185030082114,0.0,0.0,0.0
2025-03-20 00:44:42.795000064,3.9919064044952393,32.70299405983657,-117.4817785102003,0.0,0.0,0.0
2025-03-20 00:45:52.192000000,4.466864109039307,32.70279713211614,-117.48174099304066,0.0,0.0,0.0
