time,depth,lon,lat,pressure,conductivity,temperature,salinity,dive,climb,profile_num
2025-03-19 23:43:40.287000064,0.053977120667696,-117.49410000021184,32.73926333463044,0.06634399769878385,4.059189796447754,14.57680242916831,33.24738646508339,0.0,0.0,0.0
2025-03-19 23:44:08.304000000,0.2357947826385498,-117.49408000000376,32.739205000672676,0.12244799953591823,4.060280248640538,14.574140399930002,33.25961399270258,0.0,0.0,0.0
2025-03-19 23:44:12.308999936,0.3039764165878296,-117.49407333333711,32.73920000067269,0.17597599987292156,4.060282409663614,14.573788171702972,33.25991468444501,0.0,0.0,0.0
2025-03-19 23:44:16.316000000,1.2357919216156006,-117.4940616666704,32.73919666733934,0.2474739951113456,4.060533810627248,14.573599815368652,33.262346184571406,0.0,0.0,0.0
2025-03-19 23:44:20.316999936,2.0312442779541016,-117.49405500000375,32.73919166733935,0.3390440051255226,4.060715480804902,14.56897531890354,33.26793710757649,0.0,0.0,0.0
2025-03-19 23:44:24.320000000,3.1903319358825684,-117.49405083281661,32.739188333589645,0.450212996959209,4.055637664204596,14.516092493608085,33.26681900988473,0.0,0.0,0.0
2025-03-19 23:44:28.322000128,4.463055610656738,-117.49404666667041,32.7391850006727,0.5811640079364793,4.0500699613003235,14.440703148197372,33.280525158451645,0.0,0.0,0.0
2025-03-19 23:44:32.329999872,5.917596817016602,-117.49404625782454,32.739197791432325,0.7187449827241892,4.043416449027404,14.365686167143622,33.28394686761689,0.0,0.0,0.0
2025-03-19 23:44:36.335000064,7.531228542327881,-117.49404428107383,32.739213783974606,0.8683440128383637,4.039394042729214,14.306205700945384,33.29815329999918,0.0,0.0,0.0
2025-03-19 23:44:40.344000000,8.80395221710205,-117.49404224246209,32.73922632362714,1.0222349617624218,4.0288096456627045,14.190953609176631,33.30004850144564,1.0,0.0,1.0
2025-03-19 23:44:44.345999872,10.463038444519043,-117.49403726312167,32.73924567467821,1.167305023736958,4.024949144351012,14.13369275748255,33.313846612330956,1.0,0.0,1.0
2025-03-19 23:44:48.352000000,11.713034629821777,-117.49403358635891,32.73926269427918,1.2988700192022407,4.0236997275151225,14.122158675891114,33.31222911432044,1.0,0.0,1.0
2025-03-19 23:44:52.356000000,12.89484977722168,-117.49402992614299,32.73928130197204,1.4192570352249163,4.022848093979292,14.111861165916253,33.3132200080591,1.0,0.0,1.0
2025-03-19 23:44:56.358000128,14.09939193725586,-117.49402560921956,32.73930253151537,1.5308450043487483,4.02205701349294,14.102656869607927,33.31382801888965,1.0,0.0,1.0
2025-03-19 23:45:00.360999936,15.053934097290039,-117.494022542601,32.73932192389391,1.6277119659309278,4.021369233108203,14.095138558847111,33.31393762890977,1.0,0.0,1.0
2025-03-19 23:45:04.362999808,16.031204223632812,-117.49401979179471,32.73934391730357,1.7148000337600706,4.020835037229062,14.089175949071887,33.31412438873216,1.0,0.0,1.0
2025-03-19 23:45:08.365999872,16.735748291015625,-117.49401883399717,32.73936058509225,1.7948599578285211,4.020269870758057,14.080974593165593,33.31596491699493,1.0,0.0,1.0
2025-03-19 23:45:12.368000000,17.553926467895508,-117.49401710767948,32.7393809439056,1.87041000052929,4.019560461029414,14.074082484059318,33.315340421822846,1.0,0.0,1.0
2025-03-19 23:45:16.371000064,18.349380493164062,-117.49401616751535,32.73939996098262,1.9444640018806467,4.018750190734863,14.064927554895803,33.31574199430737,1.0,0.0,1.0
2025-03-19 23:45:20.375000064,19.008468627929688,-117.49401631642725,32.739413799964616,2.0237920094089645,4.017982341754191,14.058196922152774,33.31443465651215,1.0,0.0,1.0
2025-03-19 23:45:24.378000128,19.872102737426758,-117.49401655320771,32.739430390557054,2.109855034370412,4.017296357128544,14.051141085418749,33.3141628931643,1.0,0.0,1.0
2025-03-19 23:45:28.380999936,20.75846290588379,-117.49401747112073,32.73944586491135,2.206708057109836,4.016265699355472,14.041156486199725,33.31323301704186,1.0,0.0,1.0
2025-03-19 23:45:32.387000064,21.826642990112305,-117.49401828075712,32.739463357958435,2.3116280384273864,4.01453627769115,14.025014994812182,33.311162974752484,1.0,0.0,1.0
2025-03-19 23:45:36.390000128,22.963003158569336,-117.49401960142822,32.73948138083425,2.422475934814429,4.010300160535735,13.988698196038968,33.30334726193656,1.0,0.0,1.0
2025-03-19 23:45:40.392000000,24.144817352294922,-117.49402100263869,32.73949929770633,2.5408390672073438,3.9997619994933302,13.870499785643005,33.30804073788104,1.0,0.0,1.0
2025-03-19 23:45:44.396000000,25.281177520751953,-117.49402194544548,32.73951692531052,2.6589629123802183,3.99584168672493,13.814824726086044,33.31991047141606,1.0,0.0,1.0
2025-03-19 23:45:48.398000128,26.485719680786133,-117.49402217476866,32.73953506429943,2.781025078868879,3.993658298199648,13.792602586278917,33.3188637823358,1.0,0.0,1.0
2025-03-19 23:45:52.403000064,27.735715866088867,-117.4940216820655,32.73955375126316,2.901959964790308,3.9893143556362247,13.749374349046775,33.31596235967388,1.0,0.0,1.0
2025-03-19 23:45:56.404999936,29.05389404296875,-117.49402025164305,32.73957346293361,3.0270239598045237,3.9841673974076457,13.696860005035433,33.3136365014324,1.0,0.0,1.0
2025-03-19 23:46:00.408000000,30.326618194580078,-117.49401833056949,32.739592031003774,3.157474997663485,3.968081830845449,13.583410470368335,33.262157711779075,1.0,0.0,1.0
2025-03-19 23:46:04.410000128,31.599342346191406,-117.49401605036395,32.73961060907312,3.288544991807953,3.9472020786040503,13.301083513663798,33.31280772558979,1.0,0.0,1.0
2025-03-19 23:46:08.413000192,33.05388259887695,-117.49401646246604,32.73963274514639,3.422650055742281,3.936439916686993,13.176038908539795,33.32096450613425,1.0,0.0,1.0
2025-03-19 23:46:12.415000064,34.349334716796875,-117.49402087225523,32.739652270072305,3.5561359671726223,3.8914444525989893,12.863461999958417,33.16924511122071,1.0,0.0,1.0
2025-03-19 23:46:16.416000000,35.6447868347168,-117.49403103431341,32.73967174526985,3.6869970686225884,3.8445185491336815,12.178684312835685,33.32556183770692,1.0,0.0,1.0
2025-03-19 23:46:20.418999808,36.849327087402344,-117.49404425775398,32.739689416122694,3.8054920703010566,3.8074205837071986,11.713299251232911,33.38202796129645,1.0,0.0,1.0
2025-03-19 23:46:24.424000000,37.84932327270508,-117.49405549842726,32.73970402576993,3.914627041910194,3.7973497175822786,11.57023174428059,33.41237418776929,1.0,0.0,1.0
2025-03-19 23:46:28.427000064,38.872047424316406,-117.49406505099205,32.73971959048076,4.016903881832093,3.792582635692952,11.49240848673503,33.4358727210605,1.0,0.0,1.0
2025-03-19 23:46:32.536999936,40.00840759277344,-117.49407193241736,32.739736634151335,4.123763926445008,3.7882950682300134,11.44203503181916,33.439272324868085,1.0,0.0,1.0
2025-03-19 23:46:36.539000064,41.00840759277344,-117.49407569699703,32.739752319418066,4.223815833553317,3.7875146246646523,11.406349338608152,33.463874208889315,1.0,0.0,1.0
