time,depth,lon,lat,pressure,conductivity,temperature,salinity,dive,climb,profile_num,segment_num
2025-03-25 19:19:17.208000000,0.03843529149889946,-117.74857166667265,32.86640833401527,0.03661800044474006,4.145619869232178,15.393395503990178,33.333883163490924,0.0,0.0,0.0,
2025-03-25 19:19:21.210000128,0.03843529149889946,-117.74858000000594,32.86641000068192,0.03184199952165789,4.145485511309175,15.397576807561336,33.329130332405384,0.0,0.0,0.0,
2025-03-25 19:19:25.216000000,0.08236134052276611,-117.74857749875714,32.86641166818113,0.031597000322372004,4.145377877252258,15.39529879397287,33.330097163558754,0.0,0.0,0.0,
2025-03-25 19:19:29.217999872,0.14825041592121124,-117.74857500000596,32.866413334015256,0.03740200049313902,4.145324014185121,15.399258248371325,33.32625166684855,0.0,0.0,0.0,
2025-03-25 19:19:33.221999872,0.21413947641849518,-117.74856666667262,32.86640833401527,0.03459000023439529,4.145520210266113,15.398215751716634,33.32889861387237,0.0,0.0,0.0,
2025-03-25 19:19:37.224999936,0.08236134052276611,-117.74857000000596,32.86641333401524,0.029623999489307273,4.1457425155606416,15.397545501670265,33.33146505017991,0.0,0.0,0.0,
2025-03-25 19:19:41.229000192,0.03843529149889946,-117.7485733333393,32.866415000681904,0.0327880000497105,4.145644142153515,15.397100448608398,33.33095833021595,0.0,0.0,0.0,
2025-03-25 19:19:45.232000000,0.23610250651836395,-117.7485749993817,32.86641583370312,0.030784999305531358,4.145628480917367,15.396828875633219,33.33104895769436,0.0,0.0,0.0,
2025-03-25 19:19:49.237999872,0.14825041592121124,-117.7485766666726,32.86641666734859,0.03188399946278331,4.145732231616535,15.399287436428267,33.329893691962695,0.0,0.0,0.0,
2025-03-25 19:19:53.240000000,0.12628738582134247,-117.74857500000596,32.86642333401527,0.0323309995627552,4.1457801566168655,15.399009264836877,33.330559801541064,0.0,0.0,0.0,
2025-03-25 19:19:57.246000128,0.14825041592121124,-117.7485766666726,32.866421667348604,0.03054199923518297,4.145543643015117,15.399074632754491,33.328381765510215,0.0,0.0,0.0,
2025-03-25 19:20:01.248000000,0.14825041592121124,-117.7485816666726,32.86642333401527,0.03200000151991844,4.145712274557809,15.400484856562798,33.32869845534394,0.0,0.0,0.0,
2025-03-25 19:20:05.249999872,0.21413947641849518,-117.74858250011007,32.86642250057779,0.03200000151991844,4.145950811866555,15.399095954009454,33.332018406667075,0.0,0.0,0.0,
2025-03-25 19:20:09.250999808,0.1921764612197876,-117.74858333333925,32.866421667348604,0.030765999487429863,4.1458731927881445,15.4008596553997,33.32982547408933,0.0,0.0,0.0,
2025-03-25 19:20:13.256000000,0.17021343111991882,-117.74858833333928,32.866421667348604,0.03352200160536167,4.145605069158819,15.39968527214296,33.32841392122915,0.0,0.0,0.0,
2025-03-25 19:20:17.259000064,0.06039831414818764,-117.74859500000593,32.866425000681936,0.03072599975743895,4.145646525394341,15.39974015788539,33.32874058959277,0.0,0.0,0.0,
2025-03-25 19:20:21.262000128,0.23610250651836395,-117.74859500000593,32.866421667348604,0.036754999856352555,4.145704283731675,15.399947266653044,33.329081032136166,0.0,0.0,0.0,
2025-03-25 19:20:25.266000128,0.25806552171707153,-117.74860083261098,32.866420000890024,0.036253000600755314,4.14571208574489,15.399600429505881,33.3294455643044,0.0,0.0,0.0,
2025-03-25 19:20:29.270999808,0.21413947641849518,-117.74860666667261,32.86641833401527,0.028508000371426423,4.145717621801737,15.39937823864193,33.329686790235236,0.0,0.0,0.0,
2025-03-25 19:20:37.275000064,0.03843529149889946,-117.74861333333926,32.8664316673486,0.02903200157511243,4.145745199206203,15.399090228871955,33.33017854777438,0.0,0.0,0.0,
2025-03-25 19:20:41.276999936,0.10432436317205429,-117.74860666667261,32.86643166734861,0.030739999460279943,4.145457201001932,15.39832620620632,33.32824071572254,0.0,0.0,0.0,
2025-03-25 19:20:45.280000000,0.03843529149889946,-117.7486074997978,32.866434999849396,0.033263000365614914,4.145818943978611,15.397115667335129,33.332514568207635,0.0,0.0,0.0,
2025-03-25 19:20:49.285000192,0.14825041592121124,-117.74860833333926,32.86643833401527,0.03400000184774399,4.145814846055146,15.399960398998246,33.33006348762792,0.0,0.0,0.0,
2025-03-25 19:20:53.286000128,0.016472266986966133,-117.74860833333926,32.86644000068192,0.03480700163918726,4.145646455285259,15.396650650908668,33.33136001853727,0.0,0.0,0.0,
2025-03-25 19:20:57.288999936,0.10432436317205429,-117.74860666667261,32.86644833401526,0.02826400129354001,4.145694450385122,15.398620795935813,33.33012159199539,0.0,0.0,0.0,
2025-03-25 19:21:01.295000064,0.25806552171707153,-117.7486166666726,32.86645500068194,0.048165998750567596,4.14556407740406,15.395516676123634,33.33157758898531,0.0,0.0,0.0,
2025-03-25 19:21:05.296999936,0.25806552171707153,-117.74862250000577,32.86645666734856,0.03855999881267547,4.145818805688577,15.39848773957442,33.331346919831645,0.0,0.0,0.0,
2025-03-25 19:21:09.299000064,0.23610250651836395,-117.74862833333927,32.86645833401527,0.032127999937653584,4.145737574592886,15.398310115885579,33.330770879302264,0.0,0.0,0.0,
