time,m_depth,m_pitch,m_roll,c_heading,m_heading,m_lon,m_lat,m_battery,m_de_oil_vol,c_de_oil_vol,pressure,conductivity,temperature,salinity
2025-02-24 23:32:55.305000192,1.8818763494491577,-0.8818304619418247,0.014928571274764163,,3.646566060850192,-117.4752417191414,32.745788963003164,,-797.3440911331691,-1175.0,0.6043918059348149,4.095964002857097,14.987550933521796,33.23088289179221
2025-02-24 23:33:27.332999936,19.019685745239258,-0.7609834300003736,0.01978034052600685,,4.472695475353632,-117.47531907442898,32.74579188130493,,-1091.4819041641338,-1175.0,1.889187181325172,3.9407384681028583,13.18411193809253,33.355073465034636
2025-02-24 23:33:59.360000000,27.464075088500977,-0.44263737567155914,0.02071117647742231,,4.773061658969643,-117.47555171408716,32.746085501482284,,-1164.9835187882763,-1175.0,2.9523858771591507,3.851592829105614,12.09097674386916,33.47272585810244
2025-02-24 23:34:31.476000000,36.47444152832031,-0.3434364333561003,0.018844801772113808,,4.898522412625856,-117.47583690849602,32.74647711158345,,-1164.9396118122872,-1175.0,3.844789327919913,3.8140170431852347,11.551796325316285,33.592548090342106
2025-02-24 23:35:03.494999808,47.8166389465332,-0.3174141882250597,0.016056704787955935,,5.0236042355850525,-117.47612124152862,32.746867538899686,,-1164.8958374490917,-1175.0,4.740033962252069,3.80243686147279,11.303099132912863,33.70475486196501
2025-02-24 23:35:35.523000064,55.74032974243164,-0.40945786199928963,0.0230386263568011,,5.148721218109131,-117.47640565448509,32.747258075962115,,-1164.85205078125,-1175.0,5.638393345393353,3.8042378474253624,11.203707541432818,33.8132812508206
2025-02-24 23:36:07.546999808,66.13168334960938,-0.5183627605438232,0.03141592815518379,,5.173388987262433,-117.47668401566987,32.747652915061174,,-1164.8958666150152,-1175.0,6.612681745312613,3.7916540192856205,10.990345097464834,33.8844905000607
2025-02-24 23:36:39.571000064,76.0928955078125,-0.46344125888323,0.020245447903508934,,5.198056756599386,-117.47696237685673,32.74804775416317,,-1164.9396824491066,-1175.0,7.611725489742654,3.7743872656388224,10.739875222004542,33.94368061917127
2025-02-24 23:37:11.596000000,84.6052017211914,-0.41527207736782323,0.01093716431894648,,5.222725295986928,-117.47724074673316,32.7484426055908,,-1164.9834996509912,-1175.0,8.484573146164065,3.751754249300806,10.463884685062805,33.97291787774315
2025-02-24 23:37:43.619000064,93.16278839111328,-0.41434241792923576,0.014655772309082049,,5.252744533590908,-117.4775177280083,32.74883875952551,30.99967064031301,-1165.0109345728013,-1175.0,9.335019971382891,3.7281727390682584,10.183394781580454,33.99657254662615
2025-02-24 23:38:15.717999872,101.6977310180664,-0.41090221119506665,0.016539684858126066,,5.298923809755279,-117.477791244769,32.74923984309667,30.999688382641665,-1164.9891978052524,-1175.0,10.195440463849678,3.7402401402012058,10.251680468520492,34.0545035189696
2025-02-24 23:38:48.888000000,110.70809936523438,-0.39954943424200345,0.012755423854457716,,5.3466438818755195,-117.47807388756097,32.749654309033154,30.999706716952492,-1164.9667357789658,-1175.0,11.083614435352263,3.7536982082929766,10.333543464785716,34.11352728319173
2025-02-24 23:39:20.916999936,119.1524887084961,-0.39549250145807197,0.009773622850324236,,5.392722452527226,-117.47834680784966,32.750054517940825,30.99972442058954,-1164.945046413899,-1175.0,11.924244832721241,3.7529052840440866,10.296946267656322,34.1395402853337
2025-02-24 23:39:52.940999936,127.5742416381836,-0.4029384915261008,0.007912124340005553,,5.390642248683916,-117.47862038828521,32.750453364236705,30.999742121462837,-1164.9232583003416,-1175.0,12.763560440024955,3.7501425501111796,10.240791836456687,34.16404241727098
2025-02-24 23:40:24.964999936,135.95071411132812,-0.4071263872269709,0.012557385254556054,,5.340416478110237,-117.47889467138599,32.750850910560644,30.999759822336134,-1164.901368065078,-1175.0,13.59723406094448,3.737989196868979,10.091381366980338,34.181168759065145
2025-02-24 23:40:56.991000064,144.16871643066406,-0.40805583960599195,0.023710914980324932,,5.290187570631878,-117.47916897161743,32.751248481713766,30.999777524314958,-1164.8794764626364,-1175.0,14.429267479084702,3.7285964906376456,9.96531670475447,34.204325949490574
2025-02-24 23:41:29.107000064,152.61309814453125,-0.4084070324897766,0.024500207114951152,,5.23981750879974,-117.47944404269326,32.75164717012987,30.999795276040263,-1164.8575233399436,-1175.0,15.25901867805631,3.7267168728738,9.902664452965315,34.244186407541946
2025-02-24 23:42:02.279000064,161.46499633789062,-0.4084070324897766,0.018823658889574445,,5.246823606404246,-117.47972825384296,32.75205378683301,30.999813611456485,-1164.869102927881,-1175.0,16.112037518859896,3.721047654488499,9.806527539970807,34.27715681293172
2025-02-24 23:42:34.305999872,169.47923278808594,-0.4237655498822449,0.015358949611933998,,5.27171947636319,-117.48000268419652,32.75244477702327,30.999831313988008,-1164.8908039966457,-1175.0,16.929513650893757,3.7099117326092608,9.665976160593793,34.29639335461129
2025-02-24 23:43:06.329999872,177.4934844970703,-0.444242720405536,0.012566608854220158,5.27592791699712,5.296613014285655,-117.48027708884374,32.75283573058885,30.999849014861304,-1164.9125030326363,-1175.0,17.802317914763467,3.70573119787315,9.597490708355263,34.31838385427794
