,sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
210,-1.030000001192093,3.0367000102996826,31.898490413680058,1025.2904953190143,20.499999523162842,3.218899965286255,32.252527512732804,1025.5556410416534
211,-1.0199999809265137,3.0439999103546143,31.889315234548977,1025.2826083690966,20.820000171661377,3.259000062942505,32.263445521988096,1025.560796996129
212,-1.0400000214576721,3.035599946975708,31.90067593653366,1025.292320549515,21.059999465942383,3.2795000076293945,32.26918210631768,1025.5635470387347
213,-1.030000001192093,3.037100076675415,31.89785116272637,1025.2899549039473,21.25999927520752,3.294300079345703,32.26939781854669,1025.5624182565377
214,-1.0499999672174454,3.043299913406372,31.89645335499241,1025.2883277638532,21.459999084472656,3.3090999126434326,32.27298677676008,1025.5639593269013
215,-1.030000001192093,3.037100076675415,31.90355269759182,1025.2944765695486,21.689999103546143,3.3159000873565674,32.27742146537911,1025.5668733527712
216,-1.0499999672174454,3.0350000858306885,31.89411855128371,1025.287170249987,21.88999891281128,3.334399938583374,32.278398977969886,1025.5660139761878
217,-1.0499999672174454,3.0411999225616455,31.8939227669158,1025.2864965953108,22.039999961853027,3.3434998989105225,32.27587726265447,1025.5632111257653
218,-1.0599999874830246,3.036400079727173,31.899046319575966,1025.2909612637711,22.139999866485596,3.364000082015991,32.29899018742734,1025.5797016864394
219,-1.080000028014183,3.047800064086914,31.887889380008485,1025.2811595704293,22.219998836517334,3.3808999061584473,32.273558614767204,1025.5580548648481
220,-1.0599999874830246,3.0374999046325684,31.897227990024437,1025.2894272594147,22.309999465942383,3.3777999877929688,32.283943895443535,1025.5665565552058
221,-1.0599999874830246,3.0322999954223633,31.90601848085374,1025.2968334066618,22.40000009536743,3.372499942779541,32.29026124648106,1025.572031883204
222,-1.0599999874830246,3.0339999198913574,31.8982676872069,1025.2905443877828,22.44999885559082,3.3812999725341797,32.28399419256848,1025.566284893276
223,-1.0599999874830246,3.0334999561309814,31.90046111218583,1025.292325714159,22.4399995803833,3.381999969482422,32.293532057273424,1025.5737771486354
224,-1.0700000077486038,3.029099941253662,31.907131663806716,1025.297983643386,22.40999937057495,3.3782999515533447,32.290252969948405,1025.5715093100073
